begin,end,participant,utterance,translation,source,language,langshort,langfull,corpus,duration,uid,nature,nwords,nchar,n,rank,total,freq,source_raw,phonetic,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc,streak,is_streak,focus,scope,participant_int,begin0,end0,participation
492490,493090,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,600,mandarin-110-182-492490,talk,1,2,1493,2,6332095,2.3578294387560512e-4,NA,NA,NA,other,120,overlapped,9590,0.102189781021898,0.997918834547347,3,4,0.5,2,10,94,3,1,NA,mandarin-110-185-495690,2,45370,45970,dyadic
492960,494980,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,2020,mandarin-110-183-492960,talk,9,38,1,55,6332095,1.5792561545586417e-7,NA,NA,partial,other,-130,overlapped,11610,0.915590008613264,1.0095652173913,4,5,0.6,2,94,64,NA,0,NA,mandarin-110-185-495690,1,45840,47860,dyadic
494650,495220,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,570,mandarin-110-184-494650,talk,1,2,1493,2,6332095,2.3578294387560512e-4,NA,NA,partial,other,-330,NA,6150,0.252032520325203,1.12844036697248,4,5,0.6,2,10,94,4,1,NA,mandarin-110-185-495690,2,47530,48100,dyadic
495690,495980,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,290,mandarin-110-185-495690,talk,1,2,1493,2,6332095,2.3578294387560512e-4,NA,NA,NA,self,NA,NA,6440,0.285714285714286,1.03703703703704,4,6,0.666666666666667,2,10,94,5,1,focus,mandarin-110-185-495690,2,48570,48860,dyadic
496720,498370,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,1650,mandarin-110-186-496720,talk,7,36,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,NA,8090,0.431396786155748,0.940697674418605,4,7,0.714285714285714,2,94,64,NA,0,NA,mandarin-110-185-495690,2,49600,51250,dyadic
498670,499020,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,350,mandarin-110-187-498670,talk,1,1,510,4,6332095,8.05420638824907e-5,NA,NA,NA,other,300,overlapped,8440,0.586492890995261,0.912432432432432,5,8,0.375,2,14,88,NA,0,NA,mandarin-110-185-495690,1,51550,51900,dyadic
498930,499140,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,210,mandarin-110-188-498930,talk,1,2,1493,2,6332095,2.3578294387560512e-4,NA,NA,partial,other,-90,NA,8650,0.427745664739884,0.92315901814301,6,9,0.666666666666667,2,10,94,1,1,NA,mandarin-110-185-495690,2,51810,52020,dyadic
499450,499710,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,260,mandarin-110-189-499450,talk,1,2,1493,2,6332095,2.3578294387560512e-4,NA,NA,NA,self,NA,NA,8910,0.444444444444444,0.896378269617706,6,10,0.7,2,10,95,2,1,NA,mandarin-110-185-495690,2,52330,52590,dyadic
500360,505450,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,5090,mandarin-110-190-500360,talk,24,107,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,other,650,overlapped,11040,0.675724637681159,0.851851851851852,5,9,0.333333333333333,2,94,64,NA,0,NA,mandarin-110-185-495690,1,53240,58330,dyadic
505210,505960,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,750,mandarin-110-191-505210,talk,3,8,10,46,6332095,1.5792561545586414e-6,NA,NA,partial,other,-240,NA,8600,0.367441860465116,0.837390457643622,4,7,0.714285714285714,2,25,77,NA,0,NA,mandarin-110-185-495690,2,58090,58840,dyadic
507010,509900,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,2890,mandarin-110-192-507010,talk,9,38,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,NA,9550,0.430366492146597,0.85040071237756,3,6,0.666666666666667,2,94,64,NA,0,NA,mandarin-110-185-495690,2,59890,62780,dyadic
510090,511050,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,960,mandarin-110-193-510090,talk,3,13,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,other,190,NA,9690,0.624355005159959,0.90645463049579,2,4,0.5,2,94,64,NA,0,NA,mandarin-110-185-495690,1,62970,63930,dyadic
511110,511530,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,420,mandarin-110-194-511110,talk,1,2,1493,2,6332095,2.3578294387560512e-4,NA,NA,NA,other,60,overlapped,5020,0.808764940239044,0.794303797468354,2,4,0.75,2,10,95,NA,0,NA,mandarin-110-185-495690,2,63990,64410,dyadic
511240,513010,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,1770,mandarin-110-195-511240,talk,7,38,1,55,6332095,1.5792561545586417e-7,NA,NA,partial,other,1340,NA,6790,0.402061855670103,0.870512820512821,3,5,0.4,2,94,64,NA,0,NA,mandarin-110-185-495690,1,64120,65890,dyadic
513280,518080.00000000006,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,4800.000000000058,mandarin-110-196-513280,talk,22,99,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,NA,11590,0.64969801553063,0.900543900543901,3,6,0.5,2,94,64,NA,0,NA,mandarin-110-185-495690,1,66160,70960.00000000006,dyadic
518630,519169.99999999994,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,539.9999999999418,mandarin-110-197-518630,talk,3,6,124,9,6332095,1.9582776316527152e-5,NA,NA,NA,other,549.9999999999418,overlapped,8489,0.112969725527153,0.934911894273128,3,5,0.4,2,18,83,NA,0,NA,mandarin-110-185-495690,2,71510,72049.99999999994,dyadic
519010,519350,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,340,mandarin-110-198-519010,talk,1,5,15,41,6332095,2.368884231837962e-6,NA,NA,partial,other,-159.9999999999418,NA,8829,0.891380677313399,0.953455723542117,4,6,0.666666666666667,2,23,78,NA,0,NA,mandarin-110-185-495690,1,71890,72230,dyadic
519690.00000000006,522030,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,2339.999999999942,mandarin-110-199-519690,talk,3,4,38,25,6332095,6.001173387322837e-6,NA,NA,NA,other,340.0000000000582,NA,11168,0.295308022922636,0.93534338358459,5,7,0.428571428571429,2,21,80,NA,0,NA,mandarin-110-185-495690,2,72570.00000000006,74910,dyadic
